"","muni","county","year","area","pop","whitepct","blackpct","aapipct","otherpct","hispanicpct","households","medinc","povpct","lmi","dcamri","dcamrirank","ciprops","totunits","occunits","occpct","ownoct","rentoct","less75own","builtpost2010","built2000_2009","built1990_1999","built1980_1989","built1970_1979","built1960_1969","built1950_1959","built1940_1949","built_pre1939","singledetatched","singleattatched","duplex","triquadplex","units5_9","units10_19","units20more","mobile","boatrv","gas","elec","bottled_tank","fueloil","wood","otherfuels","workers","automobile","transit","taxi","moto","bike","walk","othertransport","workedhome","elecutil","reselec","commelec","induselec","streetelec","totelec","gasutil","resgas","commgas","indusgas","streetgas","totgas","reselecghg","commelecghg","induselecghg","streetelecghg","resgasghg","commgasghg","indusgasghg","streetgasghg","otherheatghg","vehiclesghg","totghg","mpo","lhtruck","shtruck","icbus","lightcommtruck","motorhome","motorcycles","passcars","passtrucks","refusetrucks","schoolbus","sulhtruck","sushtruck","transbus","totvmt","totpass","evs","pctev","commsolar","ressolar","othersolar","totsolar","kwsolar","units4less","totalproj","lifetimerate","commparcels","totalcommproj","lifetimecommrate"
"248","lakewood township","Ocean",2020,25.1,104186,0.9,0.03,0.01,0.07,0.11,24079,52530,0.25,1,45,58,754,26616,24079,0.91,0.51,0.49,0,3608,5515,4358,2840,4237,3385,1353,308,1012,10348,8285,1064,1367,1352,1151,2934,115,0,0.71,0.24,0.01,0.03,0,0.01,27299,0.82,0.02,0.01,0,0,0.03,0.02,0.1,"JCPL",339012475,283248791,22613863,6046479,650921608,"NJNG",19278165,33978640,0,0,53256805,75702,63250,5050,1350,102678,180975,0,0,5180,278906,713091,"NJTPA","38559795.00","9621912.00","2278704.00","22392490.00","821864.00","4373752.00","423830733.00","73131698.00","1297951.00","2884467.00","5091798.00","12466002.00","1764826.00","598515992.00",34782,"421","0.0121",76,1321,44,1441,33569.76,20196,3421,0.16,771,50,"0.06"
"249","lambertville city","Hunterdon",2020,1.2,3809,0.89,0.02,0.04,0.05,0.17,1745,105744,0.07,0,26,279,187,1945,1745,0.9,0.61,0.39,0,59,257,277,129,67,146,92,22,896,462,849,192,194,74,59,115,0,0,0.7,0.13,0.02,0.14,0.01,0,2384,0.85,0.01,0,0,0,0.04,0,0.09,"JCPL",17535011,8662815,6944639,138252,33280717,"ETG",1810611,667126,0,0,2477737,3916,1934,1551,31,9644,3553,0,0,2540,8973,32142,"NJTPA","2792235.00","696752.00","165008.00","1621510.00","59514.00","316717.00","30690901.00","5295694.00","93989.00","208873.00","368713.00","902702.00","127797.00","43340405.00",2880,"36","0.0125",5,99,3,107,2095.75,1685,64,0.04,186,18,"0.1"
"250","laurel springs borough","Camden",2020,0.5,1908,0.9,0.03,0.04,0.03,0.02,649,93875,0.06,0,28,238,34,718,649,0.9,0.79,0.21,0,3,4,49,30,96,69,123,60,284,579,7,35,28,26,22,21,0,0,0.78,0.04,0,0.16,0,0.02,963,0.87,0.04,0,0,0,0.01,0.01,0.07,"ACE",11365440,7477235,2314508,80935,21238118,"SJG",570343,288254,0,0,858598,2538,1670,517,18,3038,1535,0,0,543,5409,15268,"DVRPC","226862.00","95090.00","64101.00","484692.00","22225.00","94324.00","3973405.00","4891434.00","36539.00","70404.00","155305.00","240551.00","28952.00","10383885.00",1275,"3","0.0024",3,348,5,356,4288.8,699,66,0.09,33,6,"0.18"
"251","lavallette borough","Ocean",2020,1,2171,0.97,0,0,0.03,0.02,1031,90139,0.03,0,23,329,71,3051,1031,0.34,0.81,0.19,1,443,220,124,387,145,514,615,389,214,2271,61,339,120,137,123,0,0,0,0.91,0.08,0,0.01,0,0,885,0.86,0.02,0,0,0,0.03,0.01,0.08,"MEU/JCPL",6251483,308405,0,66744,6626632,"NJNG",849887,70342,0,0,920229,1396,69,0,15,4527,375,0,0,69,5730,12180,"NJTPA","677954.00","169171.00","40064.00","393702.00","14450.00","76899.00","7451741.00","1285793.00","22820.00","50714.00","89523.00","219176.00","31029.00","10523036.00",1785,"6","0.0034",NA,65,0,65,409.77,2837,16,0.01,72,7,"0.1"
"252","lawnside borough","Camden",2020,1.4,2883,0.06,0.8,0.02,0.12,0.09,1178,70227,0.11,0,47,52,65,1255,1178,0.94,0.69,0.32,0,45,183,37,34,215,355,122,101,163,1005,12,30,29,8,77,94,0,0,0.75,0.12,0.01,0.13,0,0,1375,0.77,0.16,0.02,0,0.02,0.02,0.01,0.01,"PSEG",10086898,16205410,761,371325,26664394,"PSEG/SJG",708517,1301574,0,0,2010091,2252,3619,0,83,3774,6932,0,0,842,17876,35378,"DVRPC","749748.00","314261.00","211846.00","1601840.00","73449.00","311728.00","13131551.00","16165512.00","120757.00","232675.00","513262.00","794988.00","95684.00","34317300.00",1906,"6","0.0031",2,81,1,84,1223.45,1022,171,0.17,65,6,"0.09"
"253","lawrence township (cumberland)","Cumberland",2020,38.3,3099,0.81,0.1,0,0.09,0.13,982,76310,0.13,0,54,38,36,1209,982,0.81,0.91,0.09,0,11,136,194,153,101,56,107,138,313,1157,38,0,0,0,0,0,14,0,0.23,0.11,0.14,0.42,0.09,0.01,1461,0.94,0.02,0,0,0.01,0,0,0.03,"ACE",9466663,5960467,57400,117038,15601568,"SJG",221063,103999,302,0,325365,2114,1331,13,26,1177,554,2,0,8043,12481,25741,"SJTPO","327583.00","298345.00","455831.00","1387259.00","11961.00","272768.00","8957811.00","10826033.00","22725.00","262691.00","324915.00","705938.00","106618.00","23960467.00",2164,"7","0.0032",5,114,1,120,3222.92,1143,83,0.07,37,3,"0.08"
"254","lawrence township (mercer)","Mercer",2020,22,32551,0.66,0.11,0.15,0.08,0.12,12002,110215,0.05,0,21,368,472,12933,12002,0.93,0.69,0.31,0,98,1449,1301,3417,1813,1665,1688,291,1211,6690,2164,198,208,968,1699,1006,0,0,0.8,0.14,0,0.04,0,0.01,17074,0.77,0.07,0,0,0,0.03,0,0.13,"PSEG",102989913,161806084,50289084,1669701,316754782,"ETG/PSEG",8900888,9168669,3730152,0,21799708,22998,36131,11230,373,47407,48834,19867,0,3046,214346,404232,"DVRPC","8989788.00","3768113.00","2540117.00","19206710.00","880686.00","3737746.00","157452636.00","193831052.00","1447929.00","2789866.00","6154217.00","9532224.00","1147286.00","411478370.00",21566,"237","0.011",32,417,24,473,20479.12,9579,1085,0.11,468,95,"0.2"
"255","lebanon borough","Hunterdon",2020,0.9,2040,0.95,0.01,0.04,0.01,0.06,839,86250,0.05,0,19,410,66,868,839,0.97,0.53,0.47,0,118,207,79,145,18,34,26,31,210,329,164,17,67,36,97,154,0,4,0.62,0.13,0.01,0.24,0,0,1227,0.75,0.03,0,0,0,0.03,0,0.2,"JCPL",5731449,6607192,1192583,40716,13571940,"ETG",597551,775182,0,0,1372732,1280,1475,266,9,3183,4129,0,0,1079,18965,30386,"NJTPA","2414956.00","602609.00","142713.00","1402416.00","51472.00","273923.00","26544038.00","4580155.00","81289.00","180651.00","318894.00","780732.00","110529.00","37484377.00",1511,"17","0.0113",12,109,1,122,2809.87,571,17,0.03,66,9,"0.14"
"256","lebanon township","Hunterdon",2020,31.7,6106,0.99,0.01,0,0.01,0.04,2327,121321,0.02,0,19,411,83,2496,2327,0.93,0.96,0.04,0,17,241,256,349,500,458,220,104,351,2350,18,85,0,0,5,0,38,0,0.04,0.06,0.14,0.65,0.06,0.05,3397,0.87,0.02,0,0.01,0.01,0.03,0.01,0.07,"JCPL",30229996,11764720,870584,38748,42904048,"ETG",96487,162580,0,0,259067,6750,2627,194,9,514,866,0,0,16957,19201,47118,"NJTPA","2423786.00","604813.00","143235.00","1407544.00","51661.00","274925.00","26641096.00","4596903.00","81586.00","181312.00","320060.00","783586.00","110933.00","37621440.00",5122,"35","0.0068",NA,NA,NA,NA,NA,2550,27,0.01,78,13,"0.17"
"257","leonia borough","Bergen",2020,1.6,9059,0.47,0.03,0.38,0.13,0.22,3344,96468,0.03,0,21,376,69,3425,3344,0.98,0.64,0.36,0,19,78,121,309,330,321,404,527,1316,2013,283,329,208,65,99,428,0,0,0.86,0.08,0.02,0.03,0,0.01,4623,0.73,0.16,0,0,0,0.03,0.01,0.07,"PSEG",24383706,19382210,31591,604310,44401817,"PSEG",2804531,973224,89614,0,3867370,5445,4328,7,135,14937,5184,477,0,758,23441,54712,"NJTPA","3180927.00","793743.00","187978.00","1847232.00","67798.00","360805.00","34963222.00","6032879.00","107072.00","237949.00","420040.00","1028363.00","145586.00","49373594.00",5551,"54","0.0097",NA,40,5,45,785.16,2739,45,0.02,69,17,"0.25"
"258","liberty township","Warren",2020,11.9,2826,0.92,0.02,0.02,0.04,0.03,1113,99861,0.09,0,21,363,21,1291,1113,0.86,0.82,0.18,0,23,88,158,225,70,123,210,160,234,1188,8,52,5,19,19,0,0,0,0.01,0.07,0.18,0.62,0.08,0.03,1552,0.95,0,0,0,0,0.01,0,0.05,"JCPL",12460893,1395952,175160,2136,14034141,"ETG",0,0,0,0,0,2783,312,39,0,0,0,0,0,9580,7712,20426,"NJTPA","946766.00","236249.00","55949.00","549807.00","20179.00","107390.00","10406393.00","1795616.00","31869.00","70823.00","125020.00","306080.00","43332.00","14695473.00",2313,"5","0.0022",NA,1,0,1,2.86,1197,15,0.01,22,6,"0.27"
"259","lincoln park borough","Morris",2020,6.9,10220,0.86,0.03,0.03,0.07,0.13,3850,100248,0.03,0,23,337,104,4077,3850,0.94,0.74,0.26,0,0,96,250,1371,290,701,504,260,605,2194,658,91,130,183,263,558,0,0,0.84,0.07,0.02,0.06,0.01,0,5435,0.9,0.04,0,0,0,0.01,0.01,0.03,"PSEG/JCPL",32657886,25364864,7851801,282456,66157007,"NJNG",2855360,1200885,0,0,4056245,7293,5664,1753,63,15208,6396,0,0,3129,53594,93100,"NJTPA","6346766.00","1583722.00","375065.00","3685702.00","135274.00","719899.00","69760600.00","12037143.00","213637.00","474771.00","838087.00","2051847.00","290482.00","98512995.00",7325,"25","0.0034",NA,82,0,82,746.79,2957,163,0.06,99,17,"0.17"
"260","linden city","Union",2020,11.1,42332,0.51,0.3,0.03,0.16,0.32,14728,75084,0.08,0,37,128,1116,15720,14728,0.94,0.6,0.4,0,440,494,875,1268,1202,2047,4028,2034,3332,7176,577,4427,1068,406,469,1533,64,0,0.76,0.1,0.02,0.08,0,0.03,21574,0.85,0.09,0.01,0,0,0.02,0.01,0.03,"PSEG",99030484,170007410,204668527,4274247,477980668,"ETG/PSEG",16326607,15500431,267288266,0,299115304,22114,37963,45703,954,86958,82558,1423616,0,7778,198088,1905731,"NJTPA","20355250.00","5079290.00","1202901.00","11820725.00","433852.00","2308851.00","223735130.00","38605341.00","685174.00","1522675.00","2687900.00","6580655.00","931631.00","315949375.00",24492,"70","0.0029",37,721,8,766,17084.2,13308,1870,0.14,1107,45,"0.04"
"261","lindenwold borough","Camden",2020,3.9,17288,0.41,0.37,0.03,0.2,0.25,7679,46077,0.16,1,52,42,145,8355,7679,0.92,0.35,0.65,0,19,246,469,731,3991,1244,815,386,454,2510,653,331,760,1008,1165,1880,48,0,0.71,0.21,0.01,0.06,0,0.01,8895,0.85,0.09,0,0,0,0.02,0.02,0.02,"ACE",61699263,35613201,315580,326768,97954812,"SJG",2456488,17220983,11018,0,19688489,13777,7952,70,73,13084,91721,59,0,3021,46283,176041,"DVRPC","1941148.00","813642.00","548483.00","4147269.00","190165.00","807085.00","33998455.00","41853579.00","312649.00","602411.00","1328869.00","2058275.00","247731.00","88849760.00",9753,"27","0.0028",NA,28,1,29,259.41,4269,1063,0.25,137,15,"0.11"
"262","linwood city","Atlantic",2020,4.4,6719,0.89,0.02,0.04,0.05,0.07,2523,116058,0.03,0,22,354,152,2745,2523,0.92,0.87,0.13,0,56,184,392,346,201,602,496,125,343,2367,83,64,51,32,40,95,13,0,0.89,0.04,0.01,0.05,0,0.01,3447,0.9,0,0,0,0,0.01,0,0.09,"ACE",35607230,17949130,2365,372285,53931010,"SJG",2482403,959288,0,0,3441691,7951,4008,1,83,13222,5109,0,0,716,23844,54934,"SJTPO","1012128.00","498912.00","319442.00","2722004.00","13191.00","355131.00","18489811.00","20319437.00","37812.00","153781.00","589899.00","1119804.00","142584.00","45773940.00",4982,"40","0.008",10,250,3,263,4279.77,2556,136,0.05,153,16,"0.1"
"263","little egg harbor township","Ocean",2020,74,21418,0.91,0.02,0.02,0.04,0.05,8915,67031,0.1,1,32,180,188,11380,8915,0.78,0.86,0.14,0,1021,2941,1149,2176,2097,1437,279,125,155,9928,711,134,196,102,84,165,60,0,0.84,0.1,0.01,0.03,0.01,0.01,8963,0.91,0.01,0,0,0,0.01,0,0.07,"ACE",62792211,21404231,5309,1069218,85270969,"NJNG",2949341,3901561,0,0,6850902,14022,4780,1,239,15709,20780,0,0,5933,46922,108385,"NJTPA","10084490.00","2516405.00","595947.00","5856277.00","214941.00","1143861.00","110843862.00","19126031.00","339451.00","754371.00","1331650.00","3260216.00","461552.00","156529054.00",15732,"43","0.0027",9,1454,5,1468,11811.7,11262,747,0.07,190,10,"0.05"
"264","little falls township","Passaic",2020,2.9,14487,0.84,0.05,0.05,0.06,0.13,5742,101406,0.04,0,22,358,234,5950,5742,0.97,0.71,0.29,0,93,87,389,230,711,780,1821,754,1085,3620,114,697,210,292,324,693,0,0,0.77,0.16,0,0.07,0,0,9268,0.78,0.08,0,0,0,0.03,0.01,0.1,"PSEG",37797328,48556765,1840169,740786,88935048,"PSEG",3440318,8390500,71338,0,11902156,8440,10843,411,165,18324,44689,380,0,1972,61014,146238,"NJTPA","6857693.00","1711216.00","405258.00","3982408.00","146164.00","777853.00","75376473.00","13006158.00","230835.00","512990.00","905554.00","2217025.00","313866.00","106443493.00",9770,"40","0.0041",9,181,3,193,2491.87,4152,227,0.05,222,29,"0.13"
"265","little ferry borough","Bergen",2020,1.7,10761,0.59,0.04,0.25,0.13,0.33,4106,69224,0.07,0,34,164,243,4451,4106,0.92,0.39,0.61,0,21,48,83,566,1028,786,660,551,708,1755,144,743,320,260,494,735,0,0,0.64,0.3,0.03,0.01,0,0.02,5766,0.79,0.13,0,0,0,0.04,0.01,0.03,"PSEG",29071639,28002412,37744744,390685,95209480,"PSEG",2191795,1834906,634857,0,4661558,6492,6253,8428,87,11674,9773,3381,0,1020,41249,88358,"NJTPA","4893554.00","1221099.00","289186.00","2841790.00","104301.00","555065.00","53787585.00","9281011.00","164721.00","366062.00","646191.00","1582037.00","223970.00","75956572.00",6873,"21","0.0031",5,202,6,213,1958.42,2800,113,0.04,239,42,"0.18"
"266","little silver borough","Monmouth",2020,3.2,5817,0.98,0,0.02,0,0.03,2064,202875,0.01,0,6,557,149,2164,2064,0.95,0.93,0.07,0,67,83,194,233,143,439,627,140,238,1815,214,0,33,41,0,11,50,0,0.91,0.03,0.02,0.04,0,0,2471,0.7,0.16,0,0,0.01,0,0,0.14,"JCPL",30037149,14699628,61836,183528,44982141,"NJNG",2584954,486881,0,0,3071835,6707,3282,14,41,13768,2593,0,0,571,24120,51096,"NJTPA","2579782.00","643739.00","152453.00","1498134.00","54985.00","292619.00","28355725.00","4892761.00","86837.00","192981.00","340659.00","834018.00","118073.00","40042766.00",4348,"38","0.0087",4,46,0,50,548.03,2098,66,0.03,149,4,"0.03"
"267","livingston township","Essex",2020,14.1,30059,0.65,0.02,0.28,0.05,0.04,10280,168120,0.02,0,11,535,367,10620,10280,0.97,0.85,0.15,0,449,928,621,695,517,2298,3112,1106,894,9094,485,56,75,97,179,634,0,0,0.9,0.06,0.01,0.02,0,0,13847,0.72,0.13,0,0,0,0.01,0,0.14,"PSEG/JCPL",118698122,162580027,10179091,1939893,293397133,"PSEG",12933913,4670477,89021,0,17693411,26505,36304,2273,433,68888,24876,474,0,1598,154499,315850,"NJTPA","18932124.00","4724175.00","1118800.00","10994287.00","403520.00","2147429.00","208092810.00","35906270.00","637268.00","1416218.00","2499976.00","6120571.00","866496.00","293859944.00",20000,"382","0.0191",14,206,11,231,6660.03,9793,187,0.02,382,57,"0.15"
"268","loch arbour village","Monmouth",2020,0.1,217,0.93,0.01,0.02,0.04,0.01,88,116250,0.11,0,17,435,5,161,88,0.55,0.91,0.09,1,0,0,0,6,9,5,6,0,135,153,0,3,0,5,0,0,0,0,0.92,0.06,0.02,0,0,0,91,0.8,0.12,0,0,0,0,0,0.08,"JCPL",2068952,230495,0,23472,2322919,"NJNG",200480,14660,0,0,215140,462,51,0,5,1068,78,0,0,8,456,2128,"NJTPA","55193.00","13772.00","3262.00","32052.00","1176.00","6260.00","606651.00","104677.00","1858.00","4129.00","7288.00","17843.00","2526.00","856687.00",148,"6","0.0405",NA,NA,NA,NA,NA,161,4,0.02,5,4,"0.8"
"269","lodi borough","Bergen",2020,2.3,24389,0.69,0.1,0.07,0.14,0.41,8825,64249,0.12,1,40,96,408,9267,8825,0.95,0.4,0.6,0,43,498,726,463,688,1568,2500,1051,1730,2035,321,4307,1220,203,264,732,119,66,0.71,0.16,0.04,0.08,0,0.02,11936,0.8,0.1,0.01,0,0,0.03,0.02,0.04,"PSEG",60495640,40458506,12004967,1333098,114292211,"PSEG",5056065,3259687,532211,0,8847963,13509,9034,2681,298,26929,17362,2835,0,4998,83288,160933,"NJTPA","9714311.00","2424033.00","574071.00","5641308.00","207051.00","1101872.00","106775040.00","18423959.00","326990.00","726680.00","1282769.00","3140541.00","444610.00","150783235.00",13523,"41","0.003",8,352,2,362,3427.8,8058,519,0.06,402,52,"0.13"
"270","logan township","Gloucester",2020,26.3,5907,0.8,0.16,0,0.04,0.06,2115,126553,0.02,0,19,407,206,2206,2115,0.96,0.96,0.04,0,43,119,544,529,637,32,83,83,136,1824,382,0,0,0,0,0,0,0,0.65,0.04,0.01,0.28,0,0.02,3266,0.91,0.01,0,0,0,0.01,0,0.07,"ACE",3309632,90315448,37395492,280054,131300626,"SJG",890274,8185495,3804959,0,12880729,739,20167,8350,63,4742,43597,20266,0,3169,83100,184194,"DVRPC","3485261.00","1460864.00","984781.00","7446272.00","341434.00","1449091.00","61042998.00","75146589.00","561349.00","1081607.00","2385936.00","3695559.00","444793.00","159526535.00",4075,"23","0.0056",8,95,1,104,7254.98,2188,109,0.05,208,7,"0.03"
"271","long beach township","Ocean",2020,23.5,3074,0.95,0,0,0.04,0.01,1496,90523,0.07,0,21,373,144,8891,1496,0.17,0.95,0.05,1,875,1266,701,1309,767,1390,1484,693,406,7814,158,569,115,69,38,46,82,0,0.81,0.15,0.03,0.01,0,0.01,1151,0.69,0.08,0,0,0.04,0.03,0,0.17,"ACE",53703732,8242586,18511,1035978,63000807,"NJNG",7763663,1251966,0,0,9015629,11992,1841,4,231,41350,6668,0,0,233,9965,72284,"NJTPA","1953770.00","487529.00","115459.00","1134595.00","41643.00","221612.00","21474896.00","3705479.00","65766.00","146152.00","257994.00","631634.00","89421.00","30325950.00",2486,"21","0.0084",4,124,1,129,840.21,8617,31,0,131,6,"0.05"
"272","long branch city","Monmouth",2020,5.5,30424,0.68,0.14,0.02,0.16,0.28,12098,62027,0.18,1,45,57,465,14757,12098,0.82,0.4,0.6,0,405,1850,852,1957,1584,2008,1733,831,3537,5363,1431,1465,1484,807,717,3486,0,4,0.76,0.2,0.01,0.02,0,0.01,14522,0.8,0.05,0.03,0,0.01,0.04,0.01,0.06,"JCPL",99979888,97203494,968571,1786863,199938816,"NJNG",910134,305507,0,0,1215641,22326,21706,216,399,4848,1627,0,0,1793,113694,166609,"NJTPA","13064411.00","3259991.00","772046.00","7586783.00","278455.00","1481867.00","143597738.00","24777691.00","439758.00","977283.00","1725147.00","4223595.00","597940.00","202782705.00",18358,"127","0.0069",11,393,16,420,5808.23,9266,410,0.04,461,30,"0.07"
"273","long hill township","Morris",2020,12.1,8519,0.9,0,0.06,0.04,0.09,3021,136542,0.04,0,14,496,150,3120,3021,0.97,0.84,0.16,0,0,108,308,630,246,471,458,181,718,2468,196,253,162,0,4,37,0,0,0.81,0.06,0,0.12,0.01,0,4224,0.83,0.08,0,0,0,0.03,0,0.05,"JCPL",34575241,19765830,2138721,423501,56903293,"PSEG",3091600,756301,83594,0,3931495,7721,4414,478,95,16466,4028,445,0,2885,44685,81216,"NJTPA","5123772.00","1278546.00","302791.00","2975483.00","109208.00","581179.00","56318043.00","9717639.00","172470.00","383284.00","676591.00","1656465.00","234507.00","79529978.00",6223,"77","0.0124",2,48,1,51,600.82,3145,76,0.02,154,25,"0.16"
"274","longport borough","Atlantic",2020,0.6,803,0.97,0,0.02,0.01,0.01,436,107813,0.05,0,13,507,6,1467,436,0.3,0.88,0.12,1,136,168,96,92,299,226,232,122,96,1041,26,20,19,6,0,348,7,0,0.86,0.12,0,0.02,0,0,349,0.73,0.07,0,0,0,0.07,0,0.14,"ACE",14312649,5130258,42480,179806,19665193,"SJG",1052915,94042,0,0,1146957,3196,1146,9,40,5608,501,0,0,42,4314,14856,"SJTPO","183120.00","90266.00","57795.00","492480.00","2387.00","64252.00","3345275.00","3676301.00","6841.00","27823.00","106728.00","202601.00","25797.00","8281666.00",706,"9","0.0127",1,27,0,28,913.8,1112,14,0.01,5,0,"0"
"275","lopatcong township","Warren",2020,7.4,8354,0.8,0.08,0.04,0.08,0.11,3390,93750,0.1,0,26,271,146,3565,3390,0.95,0.71,0.29,0,78,906,682,155,693,382,271,29,369,2230,462,158,47,321,203,144,0,0,0.74,0.1,0,0.14,0.01,0.01,4353,0.91,0.01,0,0,0,0.03,0.01,0.05,"JCPL",30271317,18729907,4794103,92918,53888245,"ETG",3289589,1685488,0,0,4975077,6760,4182,1071,21,17521,8977,0,0,3962,24865,67358,"NJTPA","3662384.00","913883.00","216430.00","2126824.00","78060.00","415416.00","40255166.00","6946001.00","123279.00","273965.00","483616.00","1184013.00","167622.00","56846659.00",6098,"16","0.0026",NA,NA,NA,NA,NA,2976,96,0.03,150,13,"0.09"
"276","lower alloways creek township","Salem",2020,47.9,1729,0.94,0.05,0,0.01,0.01,737,77292,0.05,0,25,291,11,767,737,0.96,0.75,0.25,0,15,110,43,87,188,66,40,19,199,741,12,7,0,0,0,0,7,0,0.03,0.16,0.15,0.54,0.09,0.05,788,0.94,0.01,0,0,0,0,0.02,0.03,"ACE",1979932,456830,2833,101467,2541062,"SJG",0,0,0,0,0,442,102,1,23,0,0,0,0,6209,13314,20091,"SJTPO","239945.00","293345.00","80327.00","1424467.00","9039.00","234849.00","9372105.00","12974070.00","13913.00","173292.00","160379.00","521565.00","62999.00","25558917.00",1391,"2","0.0014",1,36,8,45,971.21,678,13,0.02,10,0,"0"
"277","lower township","Cape May",2020,31,21515,0.93,0.01,0,0.05,0.06,9479,64632,0.12,1,43,82,332,14767,9479,0.64,0.82,0.18,1,291,1407,1619,2313,2636,1862,3057,721,861,12136,1068,240,138,101,207,366,511,0,0.63,0.22,0.07,0.05,0.01,0.02,9859,0.92,0.01,0,0,0.01,0.01,0.02,0.02,"ACE",93274001,39193212,9573755,1032386,143073354,"SJG",4775768,2916915,639,0,7693322,20828,8752,2138,231,25436,15536,3,0,11551,54498,138973,"SJTPO","1683749.00","1019979.00","658749.00","6575288.00","60564.00","1120060.00","36598359.00","50649004.00","106775.00","266994.00","2363546.00","3236072.00","279533.00","104618643.00",16172,"94","0.0058",19,1184,21,1224,13058.81,13877,453,0.03,331,22,"0.07"
"278","lumberton township","Burlington",2020,13,12228,0.66,0.2,0.07,0.07,0.07,4666,108810,0.05,0,29,226,156,5006,4666,0.93,0.75,0.25,0,21,989,1419,880,692,294,319,102,290,2902,1056,49,100,261,307,307,24,0,0.75,0.17,0,0.07,0,0.01,6393,0.84,0.03,0,0,0,0.02,0,0.11,"PSEG",45124854,41060024,4354612,637530,91177020,"PSEG",2885662,1549848,8,0,4435519,10076,9169,972,142,15369,8255,0,0,1755,58217,103957,"DVRPC","2441658.00","1023433.00","689905.00","5216611.00","239198.00","1015185.00","42764695.00","52645201.00","393263.00","757738.00","1671507.00","2588986.00","311607.00","111758985.00",8516,"49","0.0058",35,314,15,364,8837.26,4035,344,0.09,154,22,"0.14"
"279","lyndhurst township","Bergen",2020,5,22453,0.8,0.03,0.07,0.1,0.23,9043,90181,0.08,0,29,229,410,9495,9043,0.95,0.58,0.42,0,718,575,273,524,470,997,1873,691,3374,3990,199,2919,684,187,302,1198,16,0,0.84,0.09,0.02,0.05,0,0.01,12207,0.76,0.15,0,0,0.01,0.02,0.01,0.05,"PSEG",62601707,121931901,18489551,1044272,204067431,"PSEG",5766115,3096696,1544385,0,10407197,13979,27227,4129,233,30711,16493,8226,0,2751,112283,216033,"NJTPA","11639441.00","2904415.00","687837.00","6759270.00","248082.00","1320235.00","127935136.00","22075119.00","391792.00","870689.00","1536982.00","3762917.00","532720.00","180664635.00",15267,"43","0.0028",7,195,5,207,3699.96,7667,402,0.05,411,32,"0.08"
"280","madison borough","Morris",2020,4.3,16647,0.81,0.04,0.07,0.08,0.13,5745,157188,0.04,0,14,490,221,5999,5745,0.96,0.65,0.36,0,339,270,350,483,259,973,1188,473,1664,3876,458,529,224,350,271,291,0,0,0.9,0.06,0.02,0.02,0,0,8377,0.67,0.11,0,0,0,0.06,0.01,0.15,"MEU/JCPL",8954,4200,0,0,13154,"PSEG",5665058,2812699,73907,0,8551665,2,1,0,0,30173,14981,394,0,1050,81661,128261,"NJTPA","10112077.00","2523290.00","597577.00","5872298.00","215529.00","1146990.00","111147098.00","19178354.00","340380.00","756435.00","1335293.00","3269136.00","462816.00","156957273.00",10100,"147","0.0146",1,69,1,71,719.57,4962,457,0.09,225,30,"0.13"
"281","magnolia borough","Camden",2020,1,4280,0.66,0.17,0.09,0.08,0.13,1764,66117,0.09,1,38,121,76,1953,1764,0.9,0.63,0.37,0,93,55,52,154,98,536,700,105,160,1362,44,28,58,79,58,299,25,0,0.8,0.07,0.07,0.05,0,0,2407,0.85,0.05,0,0,0,0.01,0.03,0.06,"PSEG",13359085,7936080,1258804,226312,22780281,"SJG",1259125,2110754,2794,0,3372673,2983,1772,281,51,6706,11242,15,0,1039,13570,37659,"DVRPC","569113.00","238547.00","160806.00","1215913.00","55753.00","236624.00","9967800.00","12270796.00","91664.00","176617.00","389603.00","603453.00","72631.00","26049320.00",2846,"9","0.0032",3,154,1,158,1405.04,1555,179,0.12,74,6,"0.08"
"282","mahwah township","Bergen",2020,25.9,26225,0.8,0.03,0.11,0.05,0.13,9788,101405,0.04,0,17,426,244,10026,9788,0.98,0.79,0.21,0,198,525,2725,2927,1241,832,586,270,722,4694,1981,639,502,751,905,415,139,0,0.88,0.06,0.01,0.03,0.01,0.01,12392,0.79,0.07,0,0,0,0.03,0,0.11,"RECO",91132683,198702004,783100,779699,291397486,"PSEG",10226308,5214295,146114,0,15586716,20350,44370,175,174,54467,27772,778,0,5436,149204,302726,"NJTPA","21966028.00","5481231.00","1298091.00","12756139.00","468184.00","2491558.00","241440021.00","41660308.00","739393.00","1643171.00","2900600.00","7101402.00","1005354.00","340951480.00",17368,"161","0.0093",12,96,5,113,9847.09,7740,262,0.03,246,58,"0.24"
"283","manalapan township","Monmouth",2020,30.9,39577,0.87,0.03,0.06,0.03,0.07,14276,130663,0.03,0,16,442,378,14901,14276,0.96,0.86,0.14,0,736,2371,2638,3161,2404,2378,601,97,515,9866,2217,249,216,579,1451,289,34,0,0.83,0.13,0.01,0.03,0,0,19532,0.8,0.1,0,0,0,0.01,0,0.08,"JCPL",161107038,75303667,8200510,1787910,246399125,"NJNG",13513216,2206466,0,0,15719682,35975,16815,1831,399,71973,11752,0,0,3800,134824,277370,"NJTPA","17029736.00","4249468.00","1006379.00","9889529.00","362972.00","1931647.00","187182665.00","32298239.00","573233.00","1273910.00","2248767.00","5505546.00","779425.00","264331516.00",27480,"249","0.0091",14,413,4,431,11287.49,12378,879,0.07,398,25,"0.06"
