muni,county,year,elecutil,reselec,commelec,induselec,streetelec,totelec,gasutil
Atlantic Highlands borough,Monmouth,2015,JCPL,19079600.00,11152699.00,114880.00,320686.00,30667865.00,NJNG
Atlantic Highlands borough,Monmouth,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG
Atlantic Highlands borough,Monmouth,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG
Atlantic Highlands borough,Monmouth,2018,JCPL,18846135.00,11190466.00,160539.00,310368.00,30507508.00,NJNG
Atlantic Highlands borough,Monmouth,2019,JCPL,18340452.00,10858523.00,151199.00,310368.00,29660542.00,NJNG
Atlantic Highlands borough,Monmouth,2020,JCPL,18621512.00,10125822.00,177366.00,310368.00,29235068.00,NJNG
Atlantic Highlands borough,Monmouth,2021,JCPL,19515498.00,10246148.00,145698.00,310368.00,30217712.00,NJNG
Audubon borough,Camden,2015,PSEG,29658636.00,24419934.00,112075.00,388724.00,54579369.00,PSEG
Audubon borough,Camden,2016,PSEG,29599862.00,22550113.00,107257.00,385941.00,52643173.00,PSEG
Audubon borough,Camden,2017,PSEG,27972784.00,22959740.00,99611.00,371778.00,51403913.00,PSEG
Audubon borough,Camden,2018,PSEG,30054121.00,25148715.00,100278.00,418566.00,55721680.00,PSEG
Audubon borough,Camden,2019,PSEG,28769429.00,24507476.00,101617.00,387091.00,53765613.00,PSEG
Audubon borough,Camden,2020,PSEG,29367624.00,23123076.00,83665.00,383090.00,52957455.00,PSEG
Audubon borough,Camden,2021,PSEG,29564402.00,22479446.00,97967.00,376004.00,52517819.00,PSEG
Audubon Park borough,Camden,2015,PSEG,NDA,NDA,NDA,2516.00,2516.00,SJG
Audubon Park borough,Camden,2016,PSEG,NDA,NDA,NDA,2500.00,2500.00,SJG
Audubon Park borough,Camden,2017,PSEG,NDA,NDA,NDA,2441.00,2441.00,SJG
Audubon Park borough,Camden,2018,PSEG,NDA,NDA,NDA,2500.00,2500.00,SJG
Audubon Park borough,Camden,2019,PSEG,NDA,NDA,NDA,2499.00,2499.00,SJG
Audubon Park borough,Camden,2020,PSEG,NDA,NDA,NDA,2517.00,2517.00,SJG
Audubon Park borough,Camden,2021,PSEG,NDA,NDA,NDA,2501.00,2501.00,SJG
Avalon borough,Cape May,2015,ACE,45374229.00,16101203.00,NDA,383731.00,61859163.00,SJG
Avalon borough,Cape May,2016,ACE,45705449.00,15126112.00,NDA,392319.00,61223880.00,SJG
Avalon borough,Cape May,2017,ACE,43378167.00,14972563.00,NDA,394858.00,58745588.00,SJG
Avalon borough,Cape May,2018,ACE,49116767.00,14851892.00,NDA,399587.00,64368246.00,SJG
Avalon borough,Cape May,2019,ACE,47925137.00,14433860.00,NDA,401080.00,62760077.00,SJG
Avalon borough,Cape May,2020,ACE,51298904.00,13334471.00,NDA,398792.00,65032167.00,SJG
Avalon borough,Cape May,2021,ACE,51146711.00,14457671.00,NDA,401073.00,66005455.00,SJG
Avon-by-the-Sea borough,Monmouth,2015,JCPL,9129031.00,3322276.00,147301.00,89790.00,12688398.00,NJNG
Avon-by-the-Sea borough,Monmouth,2016,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG
Avon-by-the-Sea borough,Monmouth,2017,JCPL,NDA,NDA,NDA,NDA,NDA,NJNG
Avon-by-the-Sea borough,Monmouth,2018,JCPL,9651609.00,3111934.00,126919.00,82049.00,12972511.00,NJNG
Avon-by-the-Sea borough,Monmouth,2019,JCPL,9365969.00,3032924.00,145984.00,89508.00,12634385.00,NJNG
Avon-by-the-Sea borough,Monmouth,2020,JCPL,9745025.00,2673960.00,144702.00,89508.00,12653195.00,NJNG
Avon-by-the-Sea borough,Monmouth,2021,JCPL,9862470.00,2652017.00,160454.00,89508.00,12764449.00,NJNG
